"REGION","employee_type","Industry_type","monthlyORhourly","skill_type","gender","Age","yrs_of_Exp","tax_grade","no_of_child","job","rank","education","employment_type","salary_type","weekly_work_hour","yearly_income","paid_holiday_days","number_of_employee","male_percent","female_percent"
1,2,2,NA,9,2,43,2,2,0.5,9,9,2,1,NA,20,14143,30,2,81.9,18.1
2,1,2,2,0,1,45,9,4,2,20,2,2,1,1,40,16491,25,4,91.9,8.1
2,2,2,NA,7,2,52,11,4,0,14,4,2,1,NA,40,23011,30,3,59.3,40.7
2,1,2,2,1,1,51,7,4,0,6,1,7,1,1,40,16876,24,2,55.3,44.7
1,1,2,2,2,1,41,3,5,0,2,9,1,1,1,25,13798,30,4,86.1,13.9
1,1,3,1,1,1,27,11,1,0,3,2,2,1,1,38.5,30322,26,6,80.1,19.9
1,2,9,NA,7,1,44,16,NA,0,14,4,2,1,NA,37,39572,31,4,53.1,46.9
2,2,2,NA,5,1,57,7,1,0,7,4,5,1,NA,40,23422,30,4,54.3,45.7
1,2,9,NA,8,2,60,16,NA,0,14,4,1,1,NA,38.5,33774,32,3,77.5,22.5
1,2,5,NA,5,2,35,3,1,0,9,4,2,1,NA,37.5,65216,30,6,65.2,34.8
1,2,5,NA,6,1,60,2,6,0,14,4,2,1,NA,40,35104,30,2,59.1,40.9
1,2,5,NA,8,2,40,22,5,0,9,9,2,1,NA,25,16831,30,3,39.2,60.8
1,2,9,NA,8,1,21,5,NA,0,14,4,2,1,NA,38,1,30,2,85.7,14.3
2,1,2,1,1,1,51,26,1,0.5,10,2,2,1,1,38,27687,32,4,89.7,10.3
2,2,2,NA,6,2,49,26,4,0,14,9,4,1,NA,25,25383,30,2,82.6,17.4
1,2,2,NA,6,1,36,2,1,0,13,4,6,1,NA,40,27600,30,3,68.1,31.9
1,1,8,1,3,2,40,2,3,2,19,8,2,1,1,10,6587,30,2,27.2,72.8
1,2,5,NA,8,2,59,11,1,0,9,4,2,1,NA,37.5,25234,31,6,20.9,79.1
1,2,2,NA,5,2,36,7,4,0,14,4,6,1,NA,37,43995,30,4,31.6,68.4
1,2,3,NA,7,1,33,17,3,1,8,4,2,1,NA,37,52599,30,5,98,2
1,1,2,1,2,1,32,17,1,0,3,1,2,1,1,35,23677,30,3,86.6,13.4
1,2,1,NA,7,2,23,1,1,0,14,4,2,1,NA,39,1,26,2,48.8,51.2
1,2,1,NA,5,1,53,29,3,3,14,4,6,1,NA,38,84000,30,5,47.5,52.5
1,2,9,NA,5,1,33,3,NA,0,14,4,6,1,NA,38,52093,30,3,58.6,41.4
1,1,9,2,2,1,31,3,NA,0,19,1,1,1,NA,39,19781,30,5,65.2,34.8
1,1,2,1,0,1,40,3,1,1,3,2,2,1,1,35,32689,30,6,72,28
2,1,6,2,3,2,20,2,NA,0,4,9,1,1,NA,30,9808,25,2,21.5,78.5
1,2,1,NA,9,2,32,2,NA,0,14,8,7,1,NA,15,479,12,6,61,39
1,1,2,2,3,1,51,30,1,0,2,1,1,1,1,37.5,27015,30,6,94.2,5.8
1,1,2,1,0,1,35,13,3,2,3,2,2,1,1,35,42213,30,6,91.1,8.9
1,2,2,NA,8,2,46,5,5,0,14,9,2,1,NA,24,14659,30,2,88.4,11.6
2,1,9,1,3,1,40,1,NA,0,20,1,1,1,NA,35,1,15,3,94.5,5.5
2,2,9,NA,6,2,59,23,NA,0,14,4,2,1,NA,40,22750,30,3,43,57
2,1,7,1,1,1,50,29,NA,0,20,2,2,1,NA,40,23483,30,56,79,21
1,2,9,NA,7,1,32,2,NA,0,9,4,4,1,NA,38,1,30,5,60,40
2,2,5,NA,6,1,26,8,1,0,14,4,2,1,NA,40,28857,29,2,70.8,29.2
1,2,2,NA,6,1,35,1,3,2,14,4,2,1,NA,37.5,40545,30,5,64.3,35.7
1,2,5,NA,8,2,29,1,1,0,9,4,7,1,NA,37.5,1,30,6,87,13
1,1,2,2,3,2,28,6,1,0,10,1,2,1,1,40,15439,23,4,23.1,76.9
2,2,4,NA,7,2,53,5,3,0,14,9,4,1,NA,30,15061,25,3,93.8,6.2
1,1,4,2,3,1,32,3,4,1,20,2,7,1,3,40,20178,30,2,100,0
1,2,5,NA,5,1,60,12,3,0,14,4,2,1,NA,40,41653,30,2,95.3,4.8
2,1,7,1,1,1,56,6,NA,0,11,1,2,1,NA,40,25158,30,4,95.9,4.1
2,2,2,NA,7,2,46,18,4,0,8,4,4,1,NA,38,46293,30,56,78.5,21.5
1,2,3,NA,5,2,42,2,5,0,14,9,2,1,NA,19.5,25382,30,5,64.4,35.6
1,2,2,NA,6,1,41,3,1,1,10,4,2,1,NA,35,53919,27,5,45,55
2,2,9,NA,8,2,55,8,NA,0,13,4,2,1,NA,40,24483,30,2,37.2,62.8
1,2,4,NA,5,2,53,34,5,0,14,9,2,1,NA,30,19157,30,3,91.7,8.3
1,1,2,2,2,1,37,1,3,3,2,1,1,2,5,40,1,18,2,83.8,16.3
1,2,2,NA,7,2,31,2,1,0,10,4,6,1,NA,37.5,46471,25,4,41,59
1,2,7,NA,8,2,22,2,NA,0,11,9,2,1,NA,27,17411,26,6,59.2,40.8
1,2,7,NA,8,2,57,3,NA,0,20,4,2,1,NA,38.5,1,30,6,30.7,69.3
1,1,7,1,2,1,60,5,NA,0,11,1,1,1,NA,50,1,30,2,92.3,7.7
1,1,2,1,1,1,45,17,3,3,11,2,1,1,1,48.5,43310,30,4,73.1,26.9
1,2,9,NA,7,1,23,1,NA,0,20,0,3,4,NA,40,1,NA,4,84.2,15.8
